action,kvcw_reason,via_vulnerable_action,categories,max_severity,finding_count,versions_with_findings,cve_ids,vulnerable_version_ranges,first_patched_versions,version_matches,notes
1password/load-secrets-action,direct,,deprecated_runtime,low,1,6d1c2654be9ad019ca5c3839a61e91f6f1c10635,,,,,Has scanner findings. Label KVCW if workflow uses this action.
actions-ecosystem/action-remove-labels,direct,,deprecated_runtime,low,1,2ce5d41b4b6aa8503e285553f75ed56e0a40bae0,,,,,Has scanner findings. Label KVCW if workflow uses this action.
adafruit/circuitpython-action-library-ci-failed,direct,,deprecated_runtime,low,1,v1,,,,,Has scanner findings. Label KVCW if workflow uses this action.
amannn/action-semantic-pull-request,direct,,deprecated_runtime,low,2,v4; v5.0.2,,,,,Has scanner findings. Label KVCW if workflow uses this action.
atlassian/gajira-login,direct,,deprecated_runtime,low,1,master,,,,,Has scanner findings. Label KVCW if workflow uses this action.
aws-actions/configure-aws-credentials,direct,,deprecated_runtime,low,1,v1,,,,,Has scanner findings. Label KVCW if workflow uses this action.
azure/login,direct,,deprecated_runtime,low,1,v1,,,,,Has scanner findings. Label KVCW if workflow uses this action.
bytecodealliance/label-messager-action,direct,,deprecated_runtime,low,1,v1,,,,,Has scanner findings. Label KVCW if workflow uses this action.
bytecodealliance/labeler,direct,,deprecated_runtime,low,1,schedule-fork,,,,,Has scanner findings. Label KVCW if workflow uses this action.
bytecodealliance/subscribe-to-label-action,direct,,deprecated_runtime,low,1,v1,,,,,Has scanner findings. Label KVCW if workflow uses this action.
conda-incubator/setup-miniconda,direct,,deprecated_runtime,low,1,v2.1.1,,,,,Has scanner findings. Label KVCW if workflow uses this action.
databricks/run-notebook,direct,,deprecated_runtime,low,1,v0,,,,,Has scanner findings. Label KVCW if workflow uses this action.
dependabot/fetch-metadata,direct,,deprecated_runtime,low,1,v1,,,,,Has scanner findings. Label KVCW if workflow uses this action.
docker/login-action,direct,,deprecated_runtime,low,1,28218f9b04b4f3f62068d7b6ce6ca5b26e35336c,,,,,Has scanner findings. Label KVCW if workflow uses this action.
docker/metadata-action,direct,,deprecated_runtime,low,1,98669ae865ea3cffbcbaa878cf57c20bbf1c6c38,,,,,Has scanner findings. Label KVCW if workflow uses this action.
dorny/paths-filter,direct,,deprecated_runtime,low,1,v2,,,,,Has scanner findings. Label KVCW if workflow uses this action.
engineerd/setup-kind,direct,,deprecated_runtime,low,1,v0.5.0,,,,,Has scanner findings. Label KVCW if workflow uses this action.
gradle/wrapper-validation-action,direct,,deprecated_runtime,low,1,v1,,,,,Has scanner findings. Label KVCW if workflow uses this action.
mshick/add-pr-comment,direct,,deprecated_runtime,low,1,v1,,,,,Has scanner findings. Label KVCW if workflow uses this action.
ory/ci/conventional_commit_config,direct,,deprecated_runtime,low,1,master,,,,,Has scanner findings. Label KVCW if workflow uses this action.
peter-evans/create-or-update-comment,direct,,deprecated_runtime,low,1,v3,,,,,Has scanner findings. Label KVCW if workflow uses this action.
peter-evans/find-comment,direct,,deprecated_runtime,low,1,v2,,,,,Has scanner findings. Label KVCW if workflow uses this action.
pozil/auto-assign-issue,direct,,deprecated_runtime,low,1,v1.3.0,,,,,Has scanner findings. Label KVCW if workflow uses this action.
pypa/gh-action-pypi-publish,direct,,known_cve,low,2,v1.4.2; v1.5.0,,<= v1.12.4,,v1.5.0:yes; v1.4.2:yes,Has scanner findings. Label KVCW if workflow uses this action. CVE ranges: <= v1.12.4.
skjnldsv/xpath-action,direct,,deprecated_runtime,low,1,7e6a7c379d0e9abc8acaef43df403ab4fc4f770c,,,,,Has scanner findings. Label KVCW if workflow uses this action.
superbrothers/close-pull-request,direct,,deprecated_runtime,low,1,v3,,,,,Has scanner findings. Label KVCW if workflow uses this action.
test-room-7/action-update-file,direct,,deprecated_runtime,low,1,v1,,,,,Has scanner findings. Label KVCW if workflow uses this action.
astral-sh/ruff-action,both,tj-actions/changed-files,input_injection; known_cve,high,4,v1,CVE-2025-30066,<= 45.0.7,,v45:yes,Has own findings AND nests vulnerable action(s). Label KVCW if workflow uses this action. CVE ranges: <= 45.0.7.
bcgov/action-builder-ghcr,both,bcgov/action-diff-triggers; docker/build-push-action,input_injection; insecure_download; network_exfil; unsafe_cred_handling,high,13,1a3767a04ade69edf7e4857c44269d1100282581,,,,,Has own findings AND nests vulnerable action(s). Label KVCW if workflow uses this action.
cisagov/action-job-preamble,transitive,crazy-max/ghaction-github-status,network_exfil,medium,2,,,,,,No own scanner findings; nests vulnerable action(s). Label KVCW if workflow uses this action.
aio-libs/create-release,transitive,pypa/gh-action-pypi-publish,known_cve,low,1,,,<= v1.12.4,,v1.5.0:yes,No own scanner findings; nests vulnerable action(s). Label KVCW if workflow uses this action. CVE ranges: <= v1.12.4.
